Observation station,Year,Month,Day,Time [Local time],Monthly precipitation [mm]
Vantaa Helsinki-Vantaa airport,2018,2,1,02:00,22
Vantaa Helsinki-Vantaa airport,2018,3,1,02:00,19.6
Vantaa Helsinki-Vantaa airport,2018,4,1,03:00,40.8
Vantaa Helsinki-Vantaa airport,2018,5,1,03:00,9.5
Vantaa Helsinki-Vantaa airport,2018,6,1,03:00,36.6
Vantaa Helsinki-Vantaa airport,2018,7,1,03:00,74.6
Vantaa Helsinki-Vantaa airport,2018,8,1,03:00,63.4
Vantaa Helsinki-Vantaa airport,2018,9,1,03:00,56.3
Vantaa Helsinki-Vantaa airport,2018,10,1,03:00,47.4
Vantaa Helsinki-Vantaa airport,2018,11,1,02:00,24.8
Vantaa Helsinki-Vantaa airport,2018,12,1,02:00,49.3
Vantaa Helsinki-Vantaa airport,2019,1,1,02:00,60.2
Vantaa Helsinki-Vantaa airport,2019,2,1,02:00,57.6
Vantaa Helsinki-Vantaa airport,2019,3,1,02:00,60.9
Vantaa Helsinki-Vantaa airport,2019,4,1,03:00,6.1
Vantaa Helsinki-Vantaa airport,2019,5,1,03:00,64.4
Vantaa Helsinki-Vantaa airport,2019,6,1,03:00,15.9
Vantaa Helsinki-Vantaa airport,2019,7,1,03:00,66.9
Vantaa Helsinki-Vantaa airport,2019,8,1,03:00,105.5
Vantaa Helsinki-Vantaa airport,2019,9,1,03:00,100.9
Vantaa Helsinki-Vantaa airport,2019,10,1,03:00,94.2
Vantaa Helsinki-Vantaa airport,2019,11,1,02:00,84.1
Vantaa Helsinki-Vantaa airport,2019,12,1,02:00,93
Vantaa Helsinki-Vantaa airport,2020,1,1,02:00,60.9
Vantaa Helsinki-Vantaa airport,2020,2,1,02:00,114.9
Vantaa Helsinki-Vantaa airport,2020,3,1,02:00,58.1
Vantaa Helsinki-Vantaa airport,2020,4,1,03:00,37.1
Vantaa Helsinki-Vantaa airport,2020,5,1,03:00,61.4
Vantaa Helsinki-Vantaa airport,2020,6,1,03:00,77.4
Vantaa Helsinki-Vantaa airport,2020,7,1,03:00,143.5
Vantaa Helsinki-Vantaa airport,2020,8,1,03:00,86.3
Vantaa Helsinki-Vantaa airport,2020,9,1,03:00,82.1
Vantaa Helsinki-Vantaa airport,2020,10,1,03:00,76.3
Vantaa Helsinki-Vantaa airport,2020,11,1,02:00,80.3
Vantaa Helsinki-Vantaa airport,2020,12,1,02:00,60.9
Vantaa Helsinki-Vantaa airport,2021,1,1,02:00,77.1
Vantaa Helsinki-Vantaa airport,2021,2,1,02:00,22.2
Vantaa Helsinki-Vantaa airport,2021,3,1,02:00,33.5
Vantaa Helsinki-Vantaa airport,2021,4,1,03:00,52.1
Vantaa Helsinki-Vantaa airport,2021,5,1,03:00,92.2
Vantaa Helsinki-Vantaa airport,2021,6,1,03:00,25.5
Vantaa Helsinki-Vantaa airport,2021,7,1,03:00,37.9
Vantaa Helsinki-Vantaa airport,2021,8,1,03:00,165.6
Vantaa Helsinki-Vantaa airport,2021,9,1,03:00,50.3
Vantaa Helsinki-Vantaa airport,2021,10,1,03:00,87
Vantaa Helsinki-Vantaa airport,2021,11,1,02:00,52.7
Vantaa Helsinki-Vantaa airport,2021,12,1,02:00,30.4
Vantaa Helsinki-Vantaa airport,2022,1,1,02:00,80.5
Vantaa Helsinki-Vantaa airport,2022,2,1,02:00,106.2
Vantaa Helsinki-Vantaa airport,2022,3,1,02:00,10.3
Vantaa Helsinki-Vantaa airport,2022,4,1,03:00,48.3
Vantaa Helsinki-Vantaa airport,2022,5,1,03:00,77.4
Vantaa Helsinki-Vantaa airport,2022,6,1,03:00,42.3
Vantaa Helsinki-Vantaa airport,2022,7,1,03:00,34.1
Vantaa Helsinki-Vantaa airport,2022,8,1,03:00,5.9
Vantaa Helsinki-Vantaa airport,2022,9,1,03:00,59.9
Vantaa Helsinki-Vantaa airport,2022,10,1,03:00,44.8
Vantaa Helsinki-Vantaa airport,2022,11,1,02:00,46.5
Vantaa Helsinki-Vantaa airport,2022,12,1,02:00,82.5
Vantaa Helsinki-Vantaa airport,2023,1,1,02:00,98.3
Vantaa Helsinki-Vantaa airport,2023,2,1,02:00,41.3
Vantaa Helsinki-Vantaa airport,2023,3,1,02:00,74.9
Vantaa Helsinki-Vantaa airport,2023,4,1,03:00,12.7
Vantaa Helsinki-Vantaa airport,2023,5,1,03:00,24.4
Vantaa Helsinki-Vantaa airport,2023,6,1,03:00,5.6
Vantaa Helsinki-Vantaa airport,2023,7,1,03:00,69.7
Vantaa Helsinki-Vantaa airport,2023,8,1,03:00,190.4
Vantaa Helsinki-Vantaa airport,2023,9,1,03:00,61.6
Vantaa Helsinki-Vantaa airport,2023,10,1,03:00,123.9
Vantaa Helsinki-Vantaa airport,2023,11,1,02:00,61.2
Vantaa Helsinki-Vantaa airport,2023,12,1,02:00,53.9
Vantaa Helsinki-Vantaa airport,2024,1,1,02:00,52.2
Vantaa Helsinki-Vantaa airport,2024,2,1,02:00,68.7
Vantaa Helsinki-Vantaa airport,2024,3,1,02:00,28.7
,,,,,
Lahti Sopenkorpi,2018,9,1,03:00,45
Lahti Sopenkorpi,2018,10,1,03:00,30.9
Lahti Sopenkorpi,2018,11,1,02:00,18
Lahti Sopenkorpi,2018,12,1,02:00,34.3
Lahti Sopenkorpi,2019,1,1,02:00,62.5
Lahti Sopenkorpi,2019,2,1,02:00,42.4
Lahti Sopenkorpi,2019,3,1,02:00,45.4
Lahti Sopenkorpi,2019,4,1,03:00,4.6
Lahti Sopenkorpi,2019,5,1,03:00,64.9
Lahti Sopenkorpi,2019,6,1,03:00,19
Lahti Sopenkorpi,2019,7,1,03:00,33
Lahti Sopenkorpi,2019,8,1,03:00,59.8
Lahti Sopenkorpi,2019,9,1,03:00,97.5
Lahti Sopenkorpi,2019,10,1,03:00,71.1
Lahti Sopenkorpi,2019,11,1,02:00,66.4
Lahti Sopenkorpi,2019,12,1,02:00,72.7
Lahti Sopenkorpi,2020,1,1,02:00,39.4
Lahti Sopenkorpi,2020,2,1,02:00,57.1
Lahti Sopenkorpi,2020,3,1,02:00,36.9
Lahti Sopenkorpi,2020,4,1,03:00,34.4
Lahti Sopenkorpi,2020,5,1,03:00,38.8
